,average_price,last_price,buy_trades_count,sell_trades_count,trades_count_imb,base_volume,quote_volume,mean_gas,mean_gas_price,mean_gas_value
2023-08-02 23:58:00+00:00,1842.3565851451488,1846.5479475560796,1.0,6,0.8571428571428571,5.623926307357756,10362.705746,226987.7142857143,19.927708233142855,0.004535435273346195
2023-08-02 23:59:00+00:00,1840.530630576026,1838.9009536345993,4.0,2,0.3333333333333333,7.893277160750924,14522.632979,219591.33333333334,22.509448362666664,0.0049635541547383465
2023-08-03 00:00:00+00:00,1840.4834178775363,1846.5529886697602,2.0,4,0.6666666666666666,11.512075339965275,21179.746807,259226.16666666666,67.19138952533334,0.023551633419429206
2023-08-03 00:01:00+00:00,1841.6992096818362,1840.6279301861796,1.0,3,0.75,3.931253471495288,7231.494586,282364.5,24.81577472,0.007345286715661312
2023-08-03 00:02:00+00:00,1835.6922318291606,1835.6922318291606,1.0,0,0.0,0.02326682995081437,42.710739,177716.0,24.883111936,0.004422127120818176
2023-08-03 00:03:00+00:00,1842.1200554822829,1846.8950029955895,2.0,4,0.6666666666666666,4.8309832726689255,8895.894528,238436.33333333334,24.559624192,0.005801993834348544
2023-08-03 00:04:00+00:00,1838.806080321123,1838.7954344457971,2.0,0,0.0,2.4211228436482792,4452.0,156831.0,22.129923072,0.0034706623350343677
2023-08-03 00:05:00+00:00,1842.798398611573,1840.6441432302395,1.0,4,0.8,1.6120379732641217,2968.542886,227281.8,23.2740364288,0.005309104584683111
2023-08-03 00:06:00+00:00,1841.3851378680977,1847.01763627714,3.0,3,0.5,12.115400642544758,22293.818287,223824.16666666666,27.090053120000004,0.006028406261746688
2023-08-03 00:07:00+00:00,1838.4452681316034,1836.1889494086818,3.0,2,0.4,7.8156625112600215,14379.50756,220322.8,22.961758208,0.0050455931186585605
2023-08-03 00:08:00+00:00,1836.0635090988742,1836.0635090988742,1.0,0,0.0,1.1279715596637745,2071.02742,247946.0,23.100000256,0.005727552663474176
2023-08-03 00:09:00+00:00,1839.6546644468363,1840.5762011115494,1.0,1,0.5,0.4184304131569729,770.075741,184524.5,23.131157504,0.004405229285158912
2023-08-03 00:10:00+00:00,1839.8275964892243,1835.9423892273712,3.0,3,0.5,6.627398844784423,12198.327292,227838.0,20.910512810666667,0.004669152587441493
2023-08-03 00:11:00+00:00,1841.9940852873008,1847.4610662734144,2.0,5,0.7142857142857143,5.711321975404045,10517.195972,261763.85714285713,19.96917379657143,0.0052490786458822955
2023-08-03 00:12:00+00:00,1837.8880229265571,1838.68750508147,3.0,0,0.0,5.608615222036734,10309.307840000001,242465.66666666666,18.901560661333335,0.004597676138422955
2023-08-03 00:13:00+00:00,1838.6468990161648,1838.6468990161648,1.0,0,0.0,2.766865511111535,5087.288692,215269.0,17.276346368,0.003719061806292992
2023-08-03 00:14:00+00:00,1838.3911401442415,1835.906185703459,3.0,1,0.25,3.2328515983258788,5938.997144999999,187402.25,17.322144512,0.003257512194844416
